spotify_track_uri,master_metadata_track_name,master_metadata_album_artist_name,duration_ms,song_popularity,release_date,is_explicit
spotify:track:01ScugEvVRWrNAMqp4sxP4,Navegador,Mallu Magalhães,210175,0,2017-06-09,False
spotify:track:01SfTM5nfCou5gQL70r6gs,Golden Slumbers - Remastered 2009,The Beatles,91760,67,1969-09-26,False
spotify:track:01T3AjynqSMVfiAQCAfrKJ,Evolutionistically Yours,Józef Gatysik,0,0,0000,False
spotify:track:01TdlwFBNijaI4AVNPV4bQ,Che vuole questa musica stasera,Peppino Gagliardi,237586,32,2015-05-06,False
spotify:track:01TeWe9FtQOOoO1xD8idoU,Groovin',Flamingosis,213559,0,2016-02-16,False
spotify:track:01TnVDiet1DFTsyWKUKovl,NUMB,XXXTENTACION,186267,73,2018-03-16,False
spotify:track:01TyFEZu6mHbffsVfxgrFn,Show Me How,Men I Trust,215110,9,2018-02-28,False
spotify:track:01UOzRssrpuc2GGONEwPWb,The Girl From Ipanema,Walter Wanderley,158800,30,1966,False
spotify:track:01VGA34ATxwp0Xo1ldduo2,Note to Self,J. Cole,875306,0,2014-12-09,True
spotify:track:01WLCRBZsspgBYkVVdMNi7,The Eyes of Texas,The University of Texas Longhorn Band,54200,27,2009-09-08,False
spotify:track:01XsUn6ObwvRCDFlSlaWia,Waiting By The Satellites,Behind Sapphire,202844,0,2010-03-31,False
spotify:track:01ZslmM5ZveFiBUzoPSJYM,Dimelo en Septiembre,Los Machucambos,165164,0,2012-09-06,False
spotify:track:01aHS8iI47e4ouMHe8vJtJ,The Scientist- Ravin' Dub,Scientist,221178,0,2010-02-11,False
spotify:track:01apQz7E72krU1k1b4VWs7,Raining Tacos,Parry Gripp,92693,64,2013-02-26,False
spotify:track:01dFpOht9VCld9wWnEiCjV,A Graceful Retreat,Reality Club,268000,27,2017-08-19,False
spotify:track:01f4pMeB8tVxaJsKjnEcEq,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,One Direction,281533,0,2014-12-19,False
spotify:track:01fL0TINslnHzUa9dfQr8g,If You Wanna Stay,The Griswolds,159853,37,2014-08-25,False
spotify:track:01g5GoZQZPIgiD5K2uWJ21,"Toccata in D Minor, BWV 565",Johann Sebastian Bach,176400,13,1994-11-22,False
spotify:track:01gDLZsi0j5fWC28FLPNO8,Move on Up - Extended Version,Curtis Mayfield,535333,56,1970,False
spotify:track:01gUlvzAPiwB9Ekq9kGVCM,Anpanman,BTS,232966,0,2018-08-24,False
spotify:track:01gdZsRoaxG5cCZ6ivGcBd,Another Level,Crystal Fighters,186307,31,2018-09-20,False
spotify:track:01h424WG38dgY34vkI3Yd0,White Christmas,Bing Crosby,183613,0,2010-01-01,False
spotify:track:01h92A2S8XFFgbdOeFRFlR,The Void,Kid Cudi,325413,30,2020-12-11,False
spotify:track:01hRWPloULWezkSk7CWOQA,"Yumeji's Theme - From ""In The Mood For Love""",Movie Sounds Unlimited,148000,22,2010-11-25,False
spotify:track:01jeQylcvKzeZ2VWt6pbo5,Falling - Psychemagik Remix,HAIM,354040,16,2013-04-02,False
spotify:track:01jqXB6bDD9TAm3oVxPCI8,Kronos,4lienetic,306000,18,2020-04-30,False
spotify:track:01kZsYwEU1Rdwf3DVLil3Q,"Tchaikovsky: Valse sentimentale, Op. 51, No. 6",Pyotr Ilyich Tchaikovsky,285000,47,2020-02-17,False
spotify:track:01met80KMGUZxgzD1QpEv7,Told You,gate 문,122250,14,2018-01-24,False
spotify:track:01mplomcij538GerEJaiFq,The Minstrel's Prayer,Cartel,278373,0,2005,False
spotify:track:01nkjRsgpYwtbH94l7y4cg,Itchin' on a Photograph,GROUPLOVE,259506,48,2011-09-02,False
spotify:track:01oPNCtTniFT3YM4K3ksTf,Opposite of Adults,Chiddy Bang,191600,54,2010-09-13,False
spotify:track:01oyRIMjNlMSN00ETiVduQ,Stumblin' Home,Smallpools,179857,0,2018-05-25,True
spotify:track:01rzqgRE3bImDHZFwSBakq,"Don't You Worry 'Bout A Thing - Acoustic Version / From ""Sing"" Original Motion Picture Soundtrack",Tori Kelly,197560,43,2016-12-09,False
spotify:track:01uqI4H13Gsd8Lyl1EYd8H,Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,318525,59,2012-10-09,False
spotify:track:01vv2AjxgP4uUyb8waYO5Y,Morph,Twenty One Pilots,258853,64,2018-10-05,False
spotify:track:01wsKcJ8ptqUmatpJlEGYj,Ready to Start,Arcade Fire,255893,49,2010-08-02,False
spotify:track:01zfU5ZEuQifs5eVH66tfr,Driving,Hans Zimmer,100853,0,2016-03-11,False
spotify:track:01zloR4BBCutuMCuSw8KNn,Quero Quero,Mallu Magalhães,218320,24,2021-06-15,False
spotify:track:01zsv6QDtiT6GirugjG0MO,Hunter - Mike Williams Remix,Galantis,230098,18,2017-06-02,False
spotify:track:021Hs4My1c8miKUB9DviOQ,Bonse Aba,Brisbane Birralee Voices,151240,0,2009-08-19,False
spotify:track:0227KOweSwbHaIIgU8WpTL,I Wanna Dance With Somebody - Acoustic Version,Thyra,262301,0,2015-02-28,False
spotify:track:022Hks9BZTPSabeyAxwyW4,Brown Noise for Relaxation,Michael Pole,145635,65,2022-12-11,False
spotify:track:022k1qYIMWV20yW7tjiBv5,Play God,Sam Fender,226967,42,2017-05-31,False
spotify:track:023DWrHHWSjXF7cBJLFu4s,Darkroom,Ten Sleep,231000,33,2017-06-06,False
spotify:track:023H4I7HJnxRqsc9cqeFKV,I Got U,Duke Dumont,285596,70,2014-01-01,False
spotify:track:023OVLNzXhX0j7CxswUt6D,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,180560,66,2015-10-16,False
spotify:track:023RY726U9HSErxMw3kEdd,Bobagem,Druques,146186,0,2012-12-21,False
spotify:track:024nqC9O76nvAuIWtQGdQy,Memory Box,Peter Cat Recording Co.,483840,57,2019-06-07,False
spotify:track:025glKhI2Jq0aNpbokV4eY,Bossy,JD McPherson,198226,4,2014-01-01,False
spotify:track:0288jQaJZLqK5hvPokmNBX,Highlight,IZ*ONE,208868,0,2019-04-01,False
spotify:track:02BumRY2OTFMkMxrXSVMat,A Game of Badminton (feat. Jack Liebeck),Dario Marianelli,58386,40,2011-03-08,False
spotify:track:02Dg91sWZ3sp1P5vck6IAa,I Don't Wanna Stop,Ozzy Osbourne,239840,0,2007-05-22,False
spotify:track:02DoXNeIVYvONhTk1fGQrz,Nothing Really Matters - Afrojack Remix,Mr. Probz,199246,0,2015-02-20,False
spotify:track:02E0dSRldGrrrJyTY7O4uA,Into The Sunset,Mako,207580,29,2016-04-22,False
spotify:track:02FuO3zDHGFAz0yP7HHGvy,Cinema - Skrillex Remix,Benny Benassi,307862,2,2011-06-07,False
spotify:track:02H8JYd2hItFqfppgu5efp,Trailer Hitch,Kristian Bush,170918,0,2015-04-07,False
spotify:track:02HUcZIF7Z2RqSvAxdRPqi,Mine,Phoebe Ryan,227026,0,2015-06-09,False
